Title,Link,Score,Image Link,Genres
,https://myanimelist.net/manga/74697/Re_Zero_kara_Hajimeru_Isekai_Seikatsu,8.80,https://cdn.myanimelist.net/r/50x70/images/manga/1/129447.webp?s=de97a5bd1c44ad0fd0abda03b96c051c,"Drama, Fantasy, Suspense"
,https://myanimelist.net/manga/123992/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e__2-nensei-hen,8.79,https://cdn.myanimelist.net/r/50x70/images/manga/3/235363.webp?s=4d02f59706cd0e5c9cee48f716b9682b,
,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,8.77,https://cdn.myanimelist.net/r/50x70/images/manga/5/260043.webp?s=d50e19fcfed2c4d22a3a8622f46aa201,
,https://myanimelist.net/manga/86119/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen,8.77,https://cdn.myanimelist.net/r/50x70/images/manga/1/149552.webp?s=fc2d929e13f9401491a514270d7fb0af,
,https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku,8.77,https://cdn.myanimelist.net/r/50x70/images/manga/5/256607.webp?s=2f918a18c2f58c48750f19605cbcbebc,"Drama, Romance"
,https://myanimelist.net/manga/147272/The_Greatest_Estate_Developer,8.76,https://cdn.myanimelist.net/r/50x70/images/manga/1/290131.webp?s=a1a3d92e2f05f038d9e142ca2e55ffa9,"Adventure, Comedy, Fantasy"
,https://myanimelist.net/manga/26/Hunter_x_Hunter,8.75,https://cdn.myanimelist.net/r/50x70/images/manga/2/253119.webp?s=c0e37bb3a85acdca38e3a420ee9fac21,"Action, Adventure, Fantasy"
,https://myanimelist.net/manga/14483/Uchuu_Kyoudai,8.75,https://cdn.myanimelist.net/r/50x70/images/manga/3/166256.webp?s=26a1545dc53810167ab5f0d3a55291c7,"Award Winning, Drama, Sci-Fi"
,https://myanimelist.net/manga/7/Hajime_no_Ippo,8.74,https://cdn.myanimelist.net/r/50x70/images/manga/2/250313.webp?s=fe909a20668964094ec4806ef5a8b122,"Award Winning, Sports"
,https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,8.74,https://cdn.myanimelist.net/r/50x70/images/manga/1/122461.webp?s=48cb85b4bfb1a10f3d27fb2aed941b35,"Comedy, Romance"
,https://myanimelist.net/manga/85781/Dungeon_Meshi,8.74,https://cdn.myanimelist.net/r/50x70/images/manga/3/148949.webp?s=723c9a58c3a489aa3d3396f5d47f3ee2,
,https://myanimelist.net/manga/91941/Made_in_Abyss,8.74,https://cdn.myanimelist.net/r/50x70/images/manga/3/161645.webp?s=463901c70e5278ace1ec95980d6f70b1,"Adventure, Drama, Fantasy, Sci-Fi"
,https://myanimelist.net/manga/132678/Veil,8.72,https://cdn.myanimelist.net/r/50x70/images/manga/1/239756.webp?s=af1a648c8f09f926a6da97c2ef2e4c02,"Romance, Slice of Life"
,https://myanimelist.net/manga/86769/Kusuriya_no_Hitorigoto,8.72,https://cdn.myanimelist.net/r/50x70/images/manga/2/176943.webp?s=b8693774b68ac5f2867316fe60448172,"Drama, Mystery"
,https://myanimelist.net/manga/44347/One_Punch-Man,8.72,https://cdn.myanimelist.net/r/50x70/images/manga/3/80661.webp?s=a3802816224a65e463468ee2133678ba,"Action, Comedy"
,https://myanimelist.net/manga/102875/Fata_Morgana_no_Yakata__Anata_no_Genten_ni_Itaru_Monogatari,8.71,https://cdn.myanimelist.net/r/50x70/images/manga/2/193634.webp?s=cdd28434b8ced2c83b99ba28ad97ccaf,"Drama, Horror, Mystery, Supernatural"
,https://myanimelist.net/manga/72467/Shoujo_Shuumatsu_Ryokou,8.71,https://cdn.myanimelist.net/r/50x70/images/manga/1/185918.webp?s=7cf6a788cd45419ca9bfcf625bce36fc,"Adventure, Award Winning, Slice of Life"
,https://myanimelist.net/manga/418/Mushishi,8.70,https://cdn.myanimelist.net/r/50x70/images/manga/2/159514.webp?s=eba1922ef9fb31d4a148c28a5c2ca58f,"Award Winning, Fantasy, Mystery, Supernatural"
,https://myanimelist.net/manga/116778/Chainsaw_Man,8.70,https://cdn.myanimelist.net/r/50x70/images/manga/3/216464.webp?s=48fff9a60b4bf3849d3b30a702c68e54,"Action, Award Winning, Fantasy"
,https://myanimelist.net/manga/125036/The_Horizon,8.70,https://cdn.myanimelist.net/r/50x70/images/manga/1/229331.webp?s=d2b57507eedddc9391ff8e7ff2e60939,"Adventure, Drama"
,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria,8.69,https://cdn.myanimelist.net/r/50x70/images/manga/2/175662.webp?s=92196bc016d9258c4368b2187fc85736,"Action, Drama, Horror, Mystery, Romance, Supernatural, Suspense"
,https://myanimelist.net/manga/45143/Kono_Oto_Tomare,8.69,https://cdn.myanimelist.net/r/50x70/images/manga/3/116653.webp?s=bc2cbfa5951142e255d2edc7ea8d7487,
,https://myanimelist.net/manga/21/Death_Note,8.69,https://cdn.myanimelist.net/r/50x70/images/manga/1/258245.webp?s=728a9745916dc830b98bcf586badfb5c,"Supernatural, Suspense"
,https://myanimelist.net/manga/145/Beck,8.69,https://cdn.myanimelist.net/r/50x70/images/manga/3/253274.webp?s=fe7ceca36b85d6771eb7c52c0beb0d17,"Award Winning, Drama, Romance"
,https://myanimelist.net/manga/1133/Dorohedoro,8.68,https://cdn.myanimelist.net/r/50x70/images/manga/3/258246.webp?s=3b2581657a9c23a0be4857865df1da11,"Action, Comedy, Fantasy, Horror"
,https://myanimelist.net/manga/1859/Natsume_Yuujinchou,8.67,https://cdn.myanimelist.net/r/50x70/images/manga/3/260099.webp?s=ca947c39d40dbcfa2a90b62d895408d9,"Drama, Supernatural"
